"1,""mclaren"",""McLaren"",""British"",""http://en.wikipedia.org/wiki/McLaren"",1966"
"2,""bmw_sauber"",""BMW Sauber"",""German"",""http://en.wikipedia.org/wiki/BMW_Sauber"",2006"
"3,""williams"",""Williams"",""British"",""http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering"",1977"
"4,""renault"",""Renault"",""French"",""http://en.wikipedia.org/wiki/Renault_in_Formula_One"",1977"
"5,""toro_rosso"",""Toro Rosso"",""Italian"",""http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso"",2006"
"6,""ferrari"",""Ferrari"",""Italian"",""http://en.wikipedia.org/wiki/Scuderia_Ferrari"",1950"
"7,""toyota"",""Toyota"",""Japanese"",""http://en.wikipedia.org/wiki/Toyota_Racing"",2002"
"8,""super_aguri"",""Super Aguri"",""Japanese"",""http://en.wikipedia.org/wiki/Super_Aguri_F1"",2006"
"9,""red_bull"",""Red Bull"",""Austrian"",""http://en.wikipedia.org/wiki/Red_Bull_Racing"",2005"
"10,""force_india"",""Force India"",""Indian"",""http://en.wikipedia.org/wiki/Racing_Point_Force_India"",2008"
"11,""honda"",""Honda"",""Japanese"",""http://en.wikipedia.org/wiki/Honda_Racing_F1"",1964"
"12,""spyker"",""Spyker"",""Dutch"",""http://en.wikipedia.org/wiki/Spyker_F1"",2007"
"13,""mf1"",""MF1"",""Russian"",""http://en.wikipedia.org/wiki/Midland_F1_Racing"",2006"
"14,""spyker_mf1"",""Spyker MF1"",""Dutch"",""http://en.wikipedia.org/wiki/Midland_F1_Racing"",2006"
"15,""sauber"",""Sauber"",""Swiss"",""http://en.wikipedia.org/wiki/Sauber"",1993"
"16,""bar"",""BAR"",""British"",""http://en.wikipedia.org/wiki/British_American_Racing"",1999"
"17,""jordan"",""Jordan"",""Irish"",""http://en.wikipedia.org/wiki/Jordan_Grand_Prix"",1991"
"18,""minardi"",""Minardi"",""Italian"",""http://en.wikipedia.org/wiki/Minardi"",1985"
"19,""jaguar"",""Jaguar"",""British"",""http://en.wikipedia.org/wiki/Jaguar_Racing"",2000"
"20,""prost"",""Prost"",""French"",""http://en.wikipedia.org/wiki/Prost_Grand_Prix"",1997"
"21,""arrows"",""Arrows"",""British"",""http://en.wikipedia.org/wiki/Arrows_Grand_Prix_International"",1978"
"22,""benetton"",""Benetton"",""Italian"",""http://en.wikipedia.org/wiki/Benetton_Formula"",1986"
"23,""brawn"",""Brawn"",""British"",""http://en.wikipedia.org/wiki/Brawn_GP"",2009"
"24,""stewart"",""Stewart"",""British"",""http://en.wikipedia.org/wiki/Stewart_Grand_Prix"",1997"
"25,""tyrrell"",""Tyrrell"",""British"",""http://en.wikipedia.org/wiki/Tyrrell_Racing"",1970"
"26,""lola"",""Lola"",""British"",""http://en.wikipedia.org/wiki/MasterCard_Lola"",1997"
"27,""ligier"",""Ligier"",""French"",""http://en.wikipedia.org/wiki/Ligier"",1976"
"28,""forti"",""Forti"",""Italian"",""http://en.wikipedia.org/wiki/Forti"",1995"
"29,""footwork"",""Footwork"",""British"",""http://en.wikipedia.org/wiki/Footwork_Arrows"",1991"
"30,""pacific"",""Pacific"",""British"",""http://en.wikipedia.org/wiki/Pacific_Racing"",1994"
"31,""simtek"",""Simtek"",""British"",""http://en.wikipedia.org/wiki/Simtek"",1994"
"32,""team_lotus"",""Team Lotus"",""British"",""http://en.wikipedia.org/wiki/Team_Lotus"",1958"
"33,""larrousse"",""Larrousse"",""French"",""http://en.wikipedia.org/wiki/Larrousse"",1987"
"34,""brabham"",""Brabham"",""British"",""http://en.wikipedia.org/wiki/Brabham"",1962"
"35,""dallara"",""Dallara"",""Italian"",""http://en.wikipedia.org/wiki/Dallara"",1997"
"36,""fondmetal"",""Fondmetal"",""Italian"",""http://en.wikipedia.org/wiki/Fondmetal"",1991"
"37,""march"",""March"",""British"",""http://en.wikipedia.org/wiki/March_Engineering"",1969"
"38,""moda"",""Andrea Moda"",""Italian"",""http://en.wikipedia.org/wiki/Andrea_Moda_Formula"",1992"
"39,""ags"",""AGS"",""French"",""http://en.wikipedia.org/wiki/Automobiles_Gonfaronnaises_Sportives"",1989"
"40,""lambo"",""Lambo"",""Italian"",""http://en.wikipedia.org/wiki/Modena_(racing_team)"",1990"
"41,""leyton"",""Leyton House"",""British"",""http://en.wikipedia.org/wiki/Leyton_House"",1987"
"42,""coloni"",""Coloni"",""Italian"",""http://en.wikipedia.org/wiki/Enzo_Coloni_Racing_Car_Systems"",1987"
"44,""eurobrun"",""Euro Brun"",""Italian"",""http://en.wikipedia.org/wiki/Euro_Brun"",1991"
"45,""osella"",""Osella"",""Italian"",""http://en.wikipedia.org/wiki/Osella"",1980"
"46,""onyx"",""Onyx"",""British"",""http://en.wikipedia.org/wiki/Onyx_(racing_team)"",1990"
"47,""life"",""Life"",""Italian"",""http://en.wikipedia.org/wiki/Life_(Racing_Team)"",1990"
"48,""rial"",""Rial"",""German"",""http://en.wikipedia.org/wiki/Rial_%28racing_team%29"",1989"
"49,""zakspeed"",""Zakspeed"",""German"",""http://en.wikipedia.org/wiki/Zakspeed"",1985"
"50,""ram"",""RAM"",""British"",""http://en.wikipedia.org/wiki/RAM_Racing"",1989"
"51,""alfa"",""Alfa Romeo"",""Swiss"",""http://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One"",1950"
"52,""spirit"",""Spirit"",""British"",""http://en.wikipedia.org/wiki/Spirit_(racing_team)"",1983"
"53,""toleman"",""Toleman"",""British"",""http://en.wikipedia.org/wiki/Toleman"",1981"
"54,""ats"",""ATS"",""Italian"",""http://en.wikipedia.org/wiki/ATS_(wheels)"",1977"
"55,""theodore"",""Theodore"",""Hong Kong"",""http://en.wikipedia.org/wiki/Theodore_Racing"",1983"
"56,""fittipaldi"",""Fittipaldi"",""Brazilian"",""http://en.wikipedia.org/wiki/Fittipaldi_%28constructor%29"",1974"
"57,""ensign"",""Ensign"",""British"",""http://en.wikipedia.org/wiki/Ensign_%28racing_team%29"",1973"
"58,""shadow"",""Shadow"",""British"",""http://en.wikipedia.org/wiki/Shadow_Racing_Cars"",1973"
"59,""wolf"",""Wolf"",""Canadian"",""http://en.wikipedia.org/wiki/Walter_Wolf_Racing"",1977"
"60,""merzario"",""Merzario"",""Italian"",""http://en.wikipedia.org/wiki/Merzario"",1978"
"61,""kauhsen"",""Kauhsen"",""German"",""http://en.wikipedia.org/wiki/Kauhsen"",1980"
"62,""rebaque"",""Rebaque"",""Mexican"",""http://en.wikipedia.org/wiki/Rebaque"",1977"
"63,""surtees"",""Surtees"",""British"",""http://en.wikipedia.org/wiki/Surtees"",1970"
"64,""hesketh"",""Hesketh"",""British"",""http://en.wikipedia.org/wiki/Hesketh_Racing"",1972"
"65,""martini"",""Martini"",""French"",""http://en.wikipedia.org/wiki/Martini_(cars)"",1980"
"66,""brm"",""BRM"",""British"",""http://en.wikipedia.org/wiki/BRM"",1956"
"67,""penske"",""Penske"",""American"",""http://en.wikipedia.org/wiki/Penske_Racing"",1966"
"68,""lec"",""LEC"",""British"",""http://en.wikipedia.org/wiki/LEC_(Formula_One)"",1980"
"69,""mcguire"",""McGuire"",""Australian"",""http://en.wikipedia.org/wiki/McGuire_(Formula_One)"",1973"
"70,""boro"",""Boro"",""Dutch"",""http://en.wikipedia.org/wiki/Boro_(Formula_One)"",1982"
"71,""apollon"",""Apollon"",""Swiss"",""http://en.wikipedia.org/wiki/Apollon_(Formula_One)"",1978"
"72,""kojima"",""Kojima"",""Japanese"",""http://en.wikipedia.org/wiki/Kojima_Engineering"",1976"
"73,""parnelli"",""Parnelli"",""American"",""http://en.wikipedia.org/wiki/Parnelli"",1974"
"74,""maki"",""Maki"",""Japanese"",""http://en.wikipedia.org/wiki/Maki_(cars)"",1974"
"75,""hill"",""Embassy Hill"",""British"",""http://en.wikipedia.org/wiki/Hill_(constructor)"",1975"
"76,""lyncar"",""Lyncar"",""British"",""http://en.wikipedia.org/wiki/Lyncar"",1974"
"77,""trojan"",""Trojan"",""British"",""http://en.wikipedia.org/wiki/Trojan_(Racing_team)"",1974"
"78,""amon"",""Amon"",""New Zealander"",""http://en.wikipedia.org/wiki/Amon_(Formula_One_team)"",1974"
"79,""token"",""Token"",""British"",""http://en.wikipedia.org/wiki/Token_(Racing_team)"",1980"
"80,""iso_marlboro"",""Iso Marlboro"",""British"",""http://en.wikipedia.org/wiki/Iso_Marlboro"",1968"
"81,""tecno"",""Tecno"",""Italian"",""http://en.wikipedia.org/wiki/Tecno"",1967"
"82,""matra"",""Matra"",""French"",""http://en.wikipedia.org/wiki/Matra"",1966"
"83,""politoys"",""Politoys"",""British"",""http://en.wikipedia.org/wiki/Frank_Williams_Racing_Cars"",1965"
"84,""connew"",""Connew"",""British"",""http://en.wikipedia.org/wiki/Connew"",1971"
"85,""bellasi"",""Bellasi"",""Swiss"",""http://en.wikipedia.org/wiki/Bellasi"",1967"
"86,""tomaso"",""De Tomaso"",""Italian"",""http://en.wikipedia.org/wiki/De_Tomaso"",1970"
"87,""cooper"",""Cooper"",""British"",""http://en.wikipedia.org/wiki/Cooper_Cars"",1950"
